Dataset,Classes,Test Images,Model,Method,Top-1 Accuracy (%),Top-5 Accuracy (%),Time (s)
CIFAR-10,10,10000,CLIP ViT-B/32,Zero-shot,89.83,99.61,1036.15
CIFAR-100,100,10000,CLIP ViT-B/32,Zero-shot,65.08,89.23,1097.06
