Dataset,Classes,Test Images,Model,Method,Top-1 Accuracy (%),Top-5 Accuracy (%),Time (s)
CIFAR-10,10,10000,CLIP ViT-B/32,Zero-shot,88.3,99.24,1101.38
CIFAR-100,100,10000,CLIP ViT-B/32,Zero-shot,64.48,88.4,1087.82
