Dataset,Classes,Test Images,Model,Method,Top-1 Accuracy (%),Top-5 Accuracy (%),Time (s)
CIFAR-10,10,128,CLIP ViT-B/32,Zero-shot,89.84,99.22,14.32
CIFAR-100,100,128,CLIP ViT-B/32,Zero-shot,75.0,91.41,15.4
